name,planet_status,mass,radius,orbital_period,semi_major_axis,eccentricity,star_metallicity,detection_type,discovered
Kepler-43 b,Confirmed,3.23,1.219,3.0240949,0.046,0.025,0.33,Primary Transit,2011-01-01
Kepler-447 b,Confirmed,1.37,1.65,7.79430132,0.0769,0.123,0.07,Primary Transit,2015-01-01
Kepler-448 b,Confirmed,1.1,1.23,17.855182,0.154,0.34,0.08146,Primary Transit,2015-01-01
Kepler-44 b,Confirmed,1.0,1.09,3.2467293,0.0446,0.066,0.15,Primary Transit,2011-01-01
Kepler-454 Ab,Confirmed,0.017,0.2114,10.5737534,0.09528,0.0,0.32,Primary Transit,2015-01-01
Kepler-45 b,Confirmed,0.505,0.96,2.455239,0.03,0.11,0.28,Primary Transit,2011-01-01
Kepler-46 b,Confirmed,6.0,0.808,33.60134,0.1968,0.01,0.41,Primary Transit,2012-01-01
Kepler-492 b,Confirmed,39.9,0.856,11.72012266,0.0987,0.031,0.07,Primary Transit,2016-01-01
Kepler-4 b,Confirmed,0.077,0.357,3.21346,0.0456,0.0,0.17,Primary Transit,2009-01-01
Kepler-51 b,Confirmed,0.007,0.633,45.154,0.2514,0.04,0.05,Primary Transit,2012-01-01
Kepler-51 c,Confirmed,0.013,0.803,85.312,0.384,0.014,0.05,Primary Transit,2012-01-01
Kepler-51 d,Confirmed,0.024,0.865,130.194,0.509,0.008,0.05,Primary Transit,2014-01-01
Kepler-538 Ab,Confirmed,0.03335,0.198,81.73778,0.4669,0.041,-0.09,Primary Transit,2016-01-01
Kepler-539 b,Confirmed,0.97,0.747,125.63243,0.4988,0.39,-0.01,Primary Transit,2016-01-01
Kepler-55 Ac,Confirmed,0.2196,0.165,42.1406089,0.2095,0.0,-0.01,Primary Transit,2012-01-01
Kepler-56 b,Confirmed,0.07,0.581,10.5016,0.1028,0.04,0.2,Primary Transit,2012-01-01
Kepler-56 c,Confirmed,0.57,0.874,21.40239,0.1652,0.0,0.2,Primary Transit,2012-01-01
Kepler-5 b,Confirmed,2.111,1.426,3.5484657,0.0538,0.0,0.04,Primary Transit,2009-01-01
Kepler-63 b,Confirmed,0.378,0.545,9.4341505,0.08,0.45,0.05,Primary Transit,2013-01-01
Kepler-65 d,Confirmed,0.034,0.136,8.13123,0.084,0.1,0.17,Primary Transit,2012-01-01
Kepler-68 b,Confirmed,0.02407,0.206,5.3988,0.0617,0.0,0.126,Primary Transit,2013-01-01
Kepler-68 c,Confirmed,0.00642,0.0827,9.6051,0.09059,0.0,0.126,Primary Transit,2013-01-01
Kepler-6 b,Confirmed,0.668,1.304,3.2346996,0.04852,0.0,0.34,Primary Transit,2009-01-01
Kepler-74 b,Confirmed,0.63,0.96,7.340711,0.0781,0.0,0.42,Primary Transit,2013-01-01
Kepler-75 b,Confirmed,10.1,1.05,8.8849116,0.0818,0.57,0.3,Primary Transit,2013-01-01
Kepler-77 b,Confirmed,0.43,0.96,3.57878087,0.04501,0.0,0.2,Primary Transit,2013-01-01
Kepler-79 b,Confirmed,0.0343,0.31,13.4845,0.117,0.015,-0.073,Primary Transit,2012-01-01
